Año;Periodo;Agua embalsada
2000;Semana 50;28.215
2000;Semana 51;28.600
2000;Semana 52;29.744
2001;Semana 1;32.330
2001;Semana 2;34.364
2001;Semana 3;35.812
2001;Semana 4;36.201
2001;Semana 5;37.435
2001;Semana 6;37.886
2001;Semana 7;38.677
2001;Semana 8;38.753
2001;Semana 9;38.441
2001;Semana 10;39.454
2001;Semana 11;41.558
2001;Semana 12;41.802
2001;Semana 13;42.037
2001;Semana 14;42.001
2001;Semana 15;41.851
2001;Semana 16;41.748
2001;Semana 17;41.327
2001;Semana 18;41.143
2001;Semana 19;41.216
2001;Semana 20;41.122
2001;Semana 21;41.266
2001;Semana 22;41.221
2001;Semana 23;40.753
2001;Semana 24;40.295
2001;Semana 25;39.854
2001;Semana 26;38.950
2001;Semana 27;38.056
2001;Semana 28;37.290
2001;Semana 29;36.647
2001;Semana 30;35.944
2001;Semana 31;35.166
2001;Semana 32;34.303
2001;Semana 33;33.423
2001;Semana 34;32.705
2001;Semana 35;31.715
2001;Semana 36;30.863
2001;Semana 37;30.248
2001;Semana 38;29.513
2001;Semana 39;29.091
2001;Semana 40;28.973
2001;Semana 41;28.741
2001;Semana 42;28.671
2001;Semana 43;28.922
2001;Semana 44;29.168
2001;Semana 45;28.849
2001;Semana 46;28.749
2001;Semana 47;28.599
2001;Semana 48;28.216
2001;Semana 49;27.995
2001;Semana 50;27.819
2001;Semana 51;27.467
2001;Semana 52;27.102
2002;Semana 1;27.156
2002;Semana 2;27.509
2002;Semana 3;27.580
2002;Semana 4;27.515
2002;Semana 5;28.046
2002;Semana 6;28.396
2002;Semana 7;28.989
2002;Semana 8;29.318
2002;Semana 9;29.466
2002;Semana 10;29.637
2002;Semana 11;29.606
2002;Semana 12;30.491
2002;Semana 13;31.540
2002;Semana 14;31.688
2002;Semana 15;31.803
2002;Semana 16;32.497
2002;Semana 17;32.876
2002;Semana 18;32.958
2002;Semana 19;32.935
2002;Semana 20;33.199
2002;Semana 21;33.477
2002;Semana 22;33.330
2002;Semana 23;32.964
2002;Semana 24;32.801
2002;Semana 25;32.511
2002;Semana 26;31.813
2002;Semana 27;31.140
2002;Semana 28;30.493
2002;Semana 29;29.846
2002;Semana 30;29.167
2002;Semana 31;28.458
2002;Semana 32;27.728
2002;Semana 33;27.018
2002;Semana 34;26.385
